,,,,"Average practical potential (PVOUT Level 1, kWh/kWp/day), long-term",,,,,,,,,,,,
ISO_A3,Country or region,Note,World Bank Region,Yearly,January,February,March,April,May,June,July,August,September,October,November,December
CUW,Curaçao (Neth.),,Other,4.83,4.73,5.08,5.16,4.90,4.78,4.75,4.86,5.10,5.10,4.72,4.39,4.45
CYM,Cayman Islands (U.K.),,Other,4.63,4.22,4.84,5.22,5.27,4.74,4.44,4.76,4.83,4.68,4.32,4.18,4.05
CYP,Cyprus,,ECA,4.70,3.23,3.89,4.66,5.04,5.42,5.75,5.79,5.68,5.37,4.55,3.82,3.13
CZE,Czech Republic,,ECA,3.05,1.39,2.30,3.19,4.11,4.36,4.36,4.28,4.21,3.39,2.43,1.39,1.14
DEU,Germany,,Other,2.96,1.30,2.12,3.12,4.01,4.28,4.32,4.23,4.00,3.30,2.41,1.37,1.03
DJI,Djibouti,,MENA,4.80,4.84,5.22,5.18,5.17,4.76,4.17,3.97,4.25,4.57,5.20,5.23,5.04
DMA,Dominica,,LCR,3.97,3.67,4.03,4.30,4.12,4.02,3.81,3.88,4.24,4.37,4.03,3.70,3.47
DNK,Denmark,,Other,2.84,0.95,1.69,3.01,4.08,4.61,4.50,4.39,3.90,3.05,2.05,1.10,0.73
DOM,Dominican Republic,,LCR,4.57,4.47,4.82,4.93,4.73,4.42,4.42,4.56,4.64,4.73,4.57,4.28,4.29
DZA,Algeria,,MENA,4.92,4.44,4.95,5.32,5.36,5.20,5.20,5.19,5.11,4.92,4.73,4.39,4.21
ECU,Ecuador,,LCR,3.40,3.27,3.41,3.77,3.62,3.35,3.10,3.24,3.49,3.58,3.47,3.36,3.15
EGY,Arab Republic of Egypt,,MENA,5.25,4.62,5.10,5.54,5.54,5.47,5.58,5.57,5.63,5.57,5.15,4.74,4.46
ERI,Eritrea,,AFR,4.89,5.09,5.31,5.36,5.20,4.81,4.44,4.00,3.99,4.86,5.26,5.30,5.15
ESP,Spain,,Other,4.41,3.13,3.96,4.63,4.87,4.97,5.35,5.57,5.39,4.85,4.02,3.26,2.93
EST,Estonia,,ECA,2.84,0.78,1.80,3.25,4.25,4.85,4.65,4.55,4.00,2.96,1.78,0.69,0.44
ETH,Ethiopia,,AFR,4.70,5.42,5.56,5.21,4.67,4.35,3.88,3.58,3.95,4.56,4.73,5.13,5.36
FJI,Fiji,,EAP,3.82,4.00,3.81,3.88,3.80,3.65,3.51,3.71,3.85,3.92,3.91,3.85,3.88
FRA,France,,Other,3.39,1.83,2.65,3.62,4.15,4.31,4.61,4.59,4.38,3.93,2.92,1.98,1.65
FSM,Federated States of Micronesia,,EAP,3.89,3.84,4.04,4.16,4.08,3.80,3.70,3.62,3.94,3.93,4.04,3.80,3.73
GAB,Gabon,,AFR,3.60,4.02,4.05,4.09,3.94,3.45,3.01,3.07,3.11,3.46,3.71,3.64,3.70
GBR,United Kingdom,,Other,2.61,1.06,1.85,2.71,3.58,4.02,3.91,3.80,3.38,2.82,2.02,1.27,0.90
GEO,Georgia,,ECA,3.71,2.39,3.06,3.55,3.96,4.38,4.78,4.75,4.74,4.40,3.48,2.78,2.21
GHA,Ghana,,AFR,4.02,4.24,4.34,4.17,4.21,4.08,3.65,3.40,3.29,3.71,4.34,4.56,4.29
GIN,Guinea,,AFR,4.44,4.95,5.06,4.81,4.57,4.24,3.86,3.69,3.72,4.22,4.50,4.78,4.88
GMB,The Gambia,,AFR,4.57,4.79,4.99,5.12,5.15,4.74,4.22,3.95,3.86,4.25,4.62,4.64,4.54
GNB,Guinea-Bissau,,AFR,4.46,4.84,5.04,5.07,5.04,4.53,3.93,3.71,3.66,4.09,4.40,4.60,4.62
GNQ,Equatorial Guinea,,AFR,3.67,4.19,4.17,4.03,3.87,3.53,3.12,3.10,3.13,3.60,3.70,3.63,3.96
GRC,Greece,,Other,4.14,2.69,3.27,4.05,4.59,5.02,5.44,5.60,5.42,4.64,3.71,2.85,2.38
GRD,Grenada,,LCR,4.45,4.31,4.71,4.84,4.66,4.48,4.09,4.34,4.61,4.75,4.44,4.11,4.10
GTM,Guatemala,,LCR,4.39,4.27,4.72,4.97,4.83,4.31,4.07,4.29,4.46,4.34,4.11,4.15,4.14
GUM,Guam (U.S.),,Other,4.53,4.38,4.82,5.01,5.20,4.89,4.71,4.15,3.98,4.00,4.20,4.62,4.46
GUY,Guyana,,LCR,4.20,4.02,4.05,4.24,4.06,3.79,3.83,4.06,4.52,4.84,4.69,4.34,3.91
HKG,"Hong Kong, SAR",,EAP,3.27,3.00,2.70,2.71,2.82,3.38,3.36,3.94,3.72,3.70,3.63,3.16,3.08
HND,Honduras,,LCR,4.26,3.94,4.52,4.88,4.77,4.35,4.09,4.14,4.44,4.47,4.03,3.80,3.75
HRV,Croatia,,ECA,3.63,2.06,2.86,3.78,4.21,4.72,4.93,5.09,4.89,3.95,3.15,2.07,1.80
HTI,Haiti,,LCR,4.68,4.61,4.90,4.95,4.77,4.49,4.59,4.71,4.77,4.84,4.60,4.41,4.50
HUN,Hungary,,ECA,3.44,1.72,2.59,3.65,4.29,4.65,4.75,4.77,4.69,3.78,3.04,1.93,1.38
IDN,Indonesia,,EAP,3.77,3.40,3.63,3.87,3.91,3.82,3.69,3.75,3.99,4.15,3.97,3.65,3.37
IMN,Isle of Man (U.K.),,Other,2.76,0.98,1.84,2.83,3.91,4.56,4.39,4.20,3.71,2.88,1.91,1.13,0.78
IND,India,,SOA,4.32,4.51,5.05,5.23,5.02,4.58,3.69,3.11,3.35,4.04,4.55,4.43,4.36
IRL,Ireland,,Other,2.51,1.07,1.79,2.60,3.52,3.89,3.83,3.47,3.21,2.69,1.93,1.26,0.89
IRN,Islamic Republic of Iran,,MENA,4.92,3.99,4.52,4.99,5.03,5.23,5.47,5.33,5.50,5.58,5.06,4.32,3.97
IRQ,Iraq,,MENA,4.68,3.71,4.26,4.89,4.80,4.99,5.46,5.37,5.38,5.36,4.43,3.96,3.53
ISR,Israel,,Other,5.08,3.96,4.49,5.20,5.40,5.63,5.83,5.80,5.80,5.66,4.95,4.31,3.87
ITA,Italy,,Other,3.99,2.58,3.31,4.16,4.46,4.89,5.19,5.43,5.15,4.34,3.47,2.56,2.35
JAM,Jamaica,,LCR,4.39,4.20,4.50,4.74,4.68,4.33,4.31,4.46,4.48,4.48,4.23,4.17,4.07
