,,,,Basic indicators,,,,,,PV potential indicators,,,,,Power sector indicators,,,,,
ISO_A3,Country or region,Note,"World Bank 
Region","Total population, 2018","Total area, 2018",Evaluated area,"Level 1 area 
(% of evaluated area)","Human development 
Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), 
long-term","Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV 
seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity
(% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity 
Tariffs for SMEs 
(US cent/kWh), 2019"
CHE,Switzerland,,Other,"8,516,543","39,516","39,516",39%,0.94,"82,839",3.36,3.36,0.11,3.28,2.129,2246,263.7,100.0,7520,7,12.3
CHL,Chile,up to parallel 45°S,LCR,"18,729,160","743,532","536,574",48%,0.84,"15,923",5.76,5.36,0.07,1.76,0.054,2137,114.1,100.0,3880,7,9.7
CHN,China,,EAP,"1,392,730,000","9,388,210","9,388,210",51%,0.75,"9,771",4.13,3.88,0.07,1.67,0.463,175017.9,125.7,100.0,3927,6,15.5
CIV,Côte d'Ivoire,,AFR,"25,069,229","318,000","318,000",98%,0.49,"1,716",5.05,4.00,0.11,1.41,0.01,8.3,0.3,38.1,275,4,11.8
CMR,Cameroon,,AFR,"25,216,237","472,710","472,710",68%,0.56,"1,527",5.30,4.28,0.10,1.44,0.007,14.2,0.6,21.3,275,0,14.1
COD,Democratic Republic of Congo,,AFR,"84,068,091","2,267,050","2,267,050",47%,0.46,562,5.19,4.26,0.10,1.30,0.002,6.8,0.1,0.4,109,0,10
COG,Congo,,AFR,"5,244,363","341,500","341,500",37%,0.61,"2,148",4.86,3.77,0.11,1.28,0.001,0.6,0.1,22.6,203,0,8.2
COL,Colombia,,LCR,"49,648,685","1,109,500","1,109,500",32%,0.75,"6,651",4.87,4.05,0.11,1.28,0.027,86.5,1.7,95.7,1312,6,13.2
COM,Comoros,,AFR,"832,322","1,861","1,861",45%,0.50,"1,445",5.05,4.29,0.10,1.20,#N/A,0,0.0,72.2,#N/A,0,26.8
CPV,Cabo Verde,,AFR,"543,767","4,030","4,030",71%,0.65,"3,654",5.64,4.68,0.09,1.34,#N/A,7.5,13.8,91.8,#N/A,2,28.9
CRI,Costa Rica,,LCR,"4,999,441","51,060","51,060",48%,0.79,"12,027",4.89,4.09,0.10,1.44,0.09,28,5.6,100.0,1942,7,14.4
CUB,Cuba,,Other,"11,338,138","104,020","104,020",74%,0.78,"8,541",5.41,4.54,0.09,1.25,0.079,96.2,8.5,100.0,1451,#N/A,#N/A
CUW,Curaçao (Neth.),,Other,"159,849",444,444,97%,#N/A,"19,458",5.96,4.83,0.09,1.18,0.711,18,112.6,100.0,4798,#N/A,#N/A
CYM,Cayman Islands (U.K.),,Other,"64,174",240,240,65%,#N/A,"56,334",5.56,4.63,0.09,1.30,#N/A,9.9,154.3,#N/A,#N/A,#N/A,#N/A
CYP,Cyprus,,ECA,"1,189,265","9,240","9,240",88%,0.87,"28,159",5.21,4.70,0.09,1.86,0.292,113,95.0,100.0,3625,8,14.9
CZE,Czech Republic,,ECA,"10,625,695","77,220","77,220",75%,0.89,"23,079",3.08,3.05,0.12,3.90,1.372,2077.5,195.5,100.0,6259,8,12.1
DEU,Germany,,Other,"82,927,922","349,360","349,360",73%,0.94,"48,196",2.98,2.96,0.11,4.37,2.954,45930,553.9,100.0,7035,8,32.2
DJI,Djibouti,,MENA,"958,920","23,180","23,180",93%,0.48,"2,050",6.06,4.80,0.09,1.36,#N/A,0.3,0.3,2.0,#N/A,0,25.5
DMA,Dominica,,LCR,"71,625",750,750,46%,0.72,"7,032",4.94,3.97,0.11,1.30,#N/A,0.6,8.4,100.0,#N/A,7,34.5
DNK,Denmark,,Other,"5,797,446","41,990","41,990",90%,0.93,"60,726",2.77,2.84,0.13,6.32,2.114,998,172.1,100.0,5859,7,20.3
