,,,,"Theoretical potential (GHI, kWh/m2/day), long-term",,,,,,,,"Practical potential  (PVOUT Level 1, kWh/kWp/day), long-term",,,,,,,
ISO_A3,Country or region,Note,World Bank Region,Minimum,10th percentile,25th Percentile,Average,Median,75th Percentile,90th percentile,Maximum,Minimum,10th percentile,25th Percentile,Average,Median,75th Percentile,90th percentile,Maximum
SMR,San Marino,,Other,3.78,3.91,3.92,3.93,3.94,3.95,3.96,3.98,3.70,3.73,3.75,3.76,3.76,3.77,3.79,3.81
SOM,Somalia,,AFR,5.38,5.54,5.68,6.03,5.99,6.37,6.55,6.74,4.20,4.32,4.45,4.76,4.72,5.07,5.25,5.44
SRB,Serbia,,ECA,3.45,3.59,3.64,3.68,3.67,3.70,3.77,3.98,3.32,3.46,3.49,3.52,3.52,3.54,3.60,3.77
SSD,South Sudan,,AFR,5.26,5.40,5.55,5.68,5.67,5.83,5.95,6.11,4.09,4.25,4.36,4.46,4.45,4.56,4.66,4.80
STP,São Tomé and Príncipe,,AFR,3.67,3.84,3.99,4.30,4.27,4.59,4.80,5.03,3.02,3.12,3.22,3.47,3.45,3.69,3.78,4.03
SUR,Suriname,,LCR,5.07,5.25,5.32,5.38,5.38,5.44,5.49,5.79,4.07,4.15,4.19,4.27,4.24,4.33,4.44,4.64
SVK,Slovakia,,ECA,2.76,3.04,3.14,3.25,3.27,3.39,3.46,3.49,2.92,3.08,3.19,3.27,3.29,3.37,3.40,3.42
SVN,Slovenia,,ECA,2.65,3.28,3.41,3.45,3.49,3.53,3.58,3.81,3.10,3.34,3.38,3.43,3.43,3.48,3.56,3.73
SWE,Sweden,up to parallel 60°N,Other,2.55,2.60,2.63,2.69,2.67,2.72,2.79,2.99,2.65,2.71,2.78,2.84,2.83,2.89,2.96,3.16
SWZ,Eswatini,,AFR,4.66,4.76,4.80,4.85,4.84,4.89,4.97,5.07,4.10,4.22,4.26,4.32,4.30,4.36,4.47,4.59
SXM,Sint Maarten (Neth.),,Other,5.71,5.75,5.80,5.84,5.84,5.88,5.92,5.96,4.79,4.81,4.84,4.87,4.86,4.89,4.94,4.96
SYC,Seychelles,,AFR,4.92,5.12,5.31,5.63,5.69,5.96,6.02,6.11,3.99,4.13,4.21,4.35,4.39,4.47,4.54,4.63
SYR,Syrian Arab Republic,,MENA,4.82,5.21,5.29,5.45,5.41,5.64,5.79,5.90,4.34,4.65,4.72,4.85,4.79,5.01,5.17,5.37
TCA,Turks and Caicos Islands (U.K.),,Other,5.38,5.41,5.45,5.60,5.60,5.71,5.82,5.88,4.54,4.56,4.59,4.72,4.73,4.84,4.91,4.95
TCD,Chad,,AFR,5.84,5.94,6.06,6.26,6.23,6.50,6.60,6.76,4.58,4.64,4.68,4.84,4.77,4.91,5.16,5.54
TGO,Togo,,AFR,4.74,4.91,5.09,5.22,5.24,5.37,5.49,5.65,3.74,3.88,4.03,4.12,4.15,4.24,4.32,4.46
THA,Thailand,,EAP,4.34,4.68,4.80,4.93,4.93,5.10,5.20,5.28,3.67,3.87,3.99,4.06,4.08,4.17,4.22,4.25
TJK,Tajikistan,,ECA,3.59,4.06,4.29,4.51,4.53,4.75,4.92,5.21,3.67,3.99,4.13,4.34,4.26,4.40,4.97,5.32
TKM,Turkmenistan,,ECA,4.22,4.44,4.55,4.72,4.70,4.92,5.03,5.14,3.98,4.18,4.23,4.37,4.40,4.50,4.53,4.63
TLS,Timor-Leste,,EAP,4.39,4.86,5.10,5.32,5.35,5.55,5.73,5.90,3.78,4.05,4.21,4.34,4.36,4.49,4.60,4.77
TON,Tonga,,EAP,4.33,4.63,4.72,4.80,4.80,4.93,4.99,5.11,3.84,3.92,3.96,4.01,4.00,4.05,4.11,4.18
TTO,Trinidad and Tobago,,LCR,4.95,5.16,5.30,5.38,5.38,5.48,5.61,5.88,4.09,4.22,4.28,4.35,4.33,4.40,4.50,4.77
TUN,Tunisia,,MENA,4.57,4.81,5.05,5.30,5.35,5.56,5.71,5.80,4.13,4.35,4.55,4.74,4.81,4.93,5.05,5.19
TUR,Turkey,,ECA,3.13,4.04,4.37,4.60,4.68,4.89,5.05,5.26,3.36,3.86,4.17,4.32,4.38,4.54,4.66,4.87
TUV,Tuvalu,,EAP,5.05,5.23,5.24,5.34,5.25,5.47,5.50,5.51,4.18,4.19,4.19,4.27,4.20,4.35,4.38,4.38
TZA,Tanzania,,AFR,4.74,5.16,5.30,5.66,5.65,6.02,6.18,6.53,3.93,4.12,4.23,4.51,4.49,4.78,4.91,5.15
UGA,Uganda,,AFR,4.37,5.17,5.35,5.64,5.72,5.93,6.05,6.29,3.88,4.11,4.25,4.46,4.52,4.66,4.74,4.92
UKR,Ukraine,,ECA,2.96,3.11,3.20,3.35,3.35,3.49,3.62,3.80,2.99,3.09,3.18,3.30,3.29,3.40,3.51,3.67
URY,Uruguay,,LCR,4.52,4.63,4.70,4.79,4.79,4.86,4.95,5.00,4.11,4.18,4.25,4.30,4.32,4.37,4.40,4.42
USA,United States of America,up to parallel 60°N,Other,2.34,3.72,4.04,4.50,4.51,4.92,5.47,5.97,3.17,3.87,4.08,4.36,4.25,4.63,5.09,5.47
UZB,Uzbekistan,,ECA,4.00,4.16,4.32,4.51,4.52,4.72,4.84,5.00,3.65,3.98,4.12,4.27,4.34,4.43,4.48,4.63
VCT,Saint Vincent and the Grenadines,,LCR,4.04,4.37,4.73,5.19,5.25,5.67,5.95,6.03,3.42,3.63,3.84,4.27,4.30,4.73,4.87,4.91
VEN,R. B. de Venezuela,,LCR,3.92,4.97,5.20,5.35,5.40,5.56,5.66,6.12,3.62,4.17,4.27,4.35,4.37,4.44,4.53,4.96
VGB,British Virgin Islands (U.K.),,Other,5.42,5.53,5.64,5.76,5.77,5.91,5.95,5.98,4.58,4.70,4.78,4.85,4.90,4.93,4.98,4.99
VIR,United States Virgin Islands (U.S.),,Other,5.40,5.51,5.58,5.69,5.70,5.78,5.87,5.97,4.47,4.60,4.68,4.75,4.76,4.82,4.89,4.96
VNM,Vietnam,,EAP,3.16,3.43,3.65,4.25,4.15,4.88,5.08,5.52,2.67,2.87,3.02,3.55,3.74,3.99,4.10,4.44
VUT,Vanuatu,,EAP,3.30,3.78,4.05,4.30,4.35,4.59,4.76,5.02,2.70,2.97,3.23,3.53,3.62,3.84,3.98,4.17
WSM,Samoa,,EAP,4.17,4.39,4.55,4.78,4.74,5.04,5.23,5.33,3.50,3.73,3.83,4.05,4.09,4.31,4.34,4.35
XKO,Kosovo,,ECA,3.36,3.66,3.78,3.85,3.89,3.95,3.99,4.05,3.41,3.58,3.65,3.70,3.70,3.76,3.80,3.92
YEM,Republic of Yemen,,MENA,5.46,6.00,6.41,6.47,6.57,6.65,6.73,6.88,4.31,4.69,5.05,5.21,5.32,5.45,5.53,5.71
ZAF,South Africa,,AFR,4.36,4.84,5.32,5.63,5.71,6.01,6.21,6.39,4.02,4.35,4.78,5.00,5.10,5.29,5.46,5.63
ZMB,Zambia,,AFR,5.58,5.72,5.81,5.88,5.90,5.96,6.01,6.15,4.55,4.67,4.75,4.83,4.84,4.91,4.97,5.04
ZWE,Zimbabwe,,AFR,5.25,5.43,5.67,5.78,5.83,5.94,6.01,6.10,4.44,4.60,4.77,4.86,4.90,4.99,5.04,5.15
