Report generated on: 02-25-2022 09:56:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-3-BLZ-BKWH.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.159","0.181","0.189","0.236","0.254","0.21","0.225","0.248","0.216","0.16","0.171","0.238","0.234","0.233","0.255","0.243","0.23","0.235","0.24","NA"
"INTL.2-3-BEN-BKWH.A","        Benin","0.117","0.136","0.166","0.182","0.16","0.167","0.165","0.169","0.17","0.185","0.189","0.203","0.238","0.24","0.242","0.255","0.27","0.27","0.255","0.3","0.37","0.42","0.437","0.52","0.578","0.595","0.59","0.579","0.662","0.866","1.006","1.012","1.099","1.077","0.939","1.048","1.089","1.111321","1.293173","1.093","0.646"
"INTL.2-3-BMU-BKWH.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-BTN-BKWH.A","        Bhutan","0.005","0.006","0.007","0.004","0.009","0.021","0.005","0.005","0.004","0.004","0.003","0.005","0.003","0.003","0.003","0.004","0.004","0.025","0.015","0.021","0.02","0.016","0.024","0.018","0.021","0.018","0.035","0.022","0.009","0.064","0.132","0.04","0.059","0.112","0.159","0.125","0.087","0.092","0.134","0.02285","NA"
"INTL.2-3-BOL-BKWH.A","        Bolivia","0.002","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.002","0.006","0.006","0.012","0.025","0.016","0.019","0.015","0","0.008","0.007","0.01","0.016","0.01","0.009","0.009","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-BIH-BKWH.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0.6","0.575","0.6","0.4","0.385","0.387","0.424","0.4","1.6","1.262","1.019","2.016","1.653","2.251","3.015","3.743","3.412","2.887","3.076","4.171","4.481","3.167","3.162","3.872","3.084","3.346","3.092","2.825","3.266"
"INTL.2-3-BWA-BKWH.A","        Botswana","0","0.01","0.082","0.16","0.186","0.223","0.24","0.072","0.072","0.065","0.084","0.106","0.08","0.159","0.31","0.34","0.685","0.748","0.689","0.85","0.986","1.183","1.473","1.874","1.91","1.975","2.207","2.519","2.728","2.793","2.985","3.139","3.272","2.819","1.684","1.468","1.673","1.289","0.84","1.101","NA"
"INTL.2-3-BRA-BKWH.A","        Brazil","0.142","0.034","0.014","3.4","3.124","2.409","12.6","17.4146","17.9835","21.906","24.4","27.088","24.55","28.21","33.11","35.46","40.213","40.478","39.412","39.9","43","37.86","36.57","38.2","37.392","39.202","41.447","40.866","42.901","41.064","35.906","38.43","40.722","40.334","33.778","34.642","41.313","36.511","34.98","25.156","25.113"
"INTL.2-3-VGB-BKWH.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-BRN-BKWH.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
