Report generated on: 02-25-2022 09:57:07
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-4-BEN-BKWH.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002"
"INTL.2-4-BMU-BKWH.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-BTN-BKWH.A","        Bhutan","0","0","0","0","0","0","0.25","1.05","1.39","1.385","1.395","1.4","1.445","1.42","1.455","1.475","1.482","1.33","1.36","1.385","1.398","1.4","1.561","1.845","1.624","1.714","2.526","5.373","5.922","5.405","5.58","5.273","4.896","5.557","5.147","5.721","5.763","5.701","4.581","4.6","NA"
"INTL.2-4-BOL-BKWH.A","        Bolivia","0","0","0","0","0","0","0","0","0","0","0","0.002","0.003","0.003","0.003","0.003","0.003","0.001","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-BIH-BKWH.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0.5","0","0.4","0.672","2.061","2.684","2.7","3.909","2.569","2.351","2.133","3.015","3.598","3.628","5.123","4.344","5.057","5.877","6.905","5.66","4.525","6.862","5.998","6.007","6.841","5.187","7.698","6.565","7.316"
"INTL.2-4-BWA-BKWH.A","        Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-BRA-BKWH.A","        Brazil","0.196","0.332","0.206","0.071","0","0.004","0.01","0.01","0.008","0.009","0.007","0.008","0.008","0.011","0","0","0.008","0.008","0.008","0.005","0.004","0.006","0.01","0.006","0.007","0.16","0.283","2.034","0.689","1.08","1.257","2.544","0.467","0","0.003","0.219","0.518","0.156","0.001","0.199","0.395"
"INTL.2-4-VGB-BKWH.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-BRN-BKWH.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-BGR-BKWH.A","        Bulgaria","0.866","1.095","1.794","2.221","2.243","2.956","1.47","0.952","0.849","0.71","1.656","0.96","0.584","1.52","1.23","2.121","2.252","4.335","4.211","3.627","5.584","8.017","8.335","6.772","6.62","8.38","8.882","7.533","8.441","7.735","9.613","12.11","10.661","9.532","13.774","14.826","10.94","9.186","10.03","8.855","7.115"
"INTL.2-4-BFA-BKWH.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-MMR-BKWH.A","        Burma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.381","1.393","0.851","1.002","NA"
"INTL.2-4-BDI-BKWH.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-CPV-BKWH.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
