Report generated on: 02-25-2022 09:57:22
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-23-BEL-BKWH.A","        Belgium","-2.635","0.298","0.316","-0.318","0.31","-0.046","-0.213","-2.118","-2.125","-2.551","-3.724","-1.847","0.128","2.231","4.03","4.074","4.191","3.27","1.395","0.852","4.326","9.106","7.588","6.41","7.777","6.304","10.157","6.779","10.597","-1.835","0.551","2.537","9.936","9.64","17.603","20.999","6.183","6.021","17.3279","-1.854905","-0.659"
"INTL.2-23-BLZ-BKWH.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.159","0.181","0.189","0.236","0.254","0.21","0.225","0.248","0.216","0.16","0.171","0.238","0.234","0.233","0.255","0.243","0.23","0.235","0.24","NA"
"INTL.2-23-BEN-BKWH.A","        Benin","0.117","0.136","0.166","0.182","0.16","0.167","0.165","0.169","0.17","0.185","0.189","0.203","0.238","0.24","0.242","0.255","0.27","0.27","0.255","0.3","0.37","0.42","0.437","0.52","0.578","0.595","0.59","0.579","0.662","0.866","1.006","1.012","1.099","1.077","0.939","1.048","1.089","1.111321","1.293173","1.091","0.644"
"INTL.2-23-BMU-BKWH.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-BTN-BKWH.A","        Bhutan","0.005","0.006","0.007","0.004","0.009","0.021","-0.245","-1.045","-1.386","-1.381","-1.392","-1.395","-1.442","-1.417","-1.452","-1.471","-1.478","-1.305","-1.345","-1.364","-1.378","-1.384","-1.537","-1.827","-1.603","-1.696","-2.491","-5.351","-5.913","-5.341","-5.448","-5.233","-4.837","-5.445","-4.988","-5.596","-5.676","-5.609","-4.447","-4.57715","NA"
"INTL.2-23-BOL-BKWH.A","        Bolivia","0.002","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.002","0.006","0.006","0.01","0.022","0.013","0.016","0.012","-0.003","0.007","0.006","0.01","0.016","0.01","0.009","0.009","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-BIH-BKWH.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0.1","0.575","0.2","-0.272","-1.676","-2.297","-2.276","-3.509","-0.969","-1.089","-1.114","-0.999","-1.945","-1.377","-2.108","-0.601","-1.645","-2.99","-3.829","-1.489","-0.044","-3.695","-2.836","-2.135","-3.757","-1.841","-4.606","-3.74","-4.05"
"INTL.2-23-BWA-BKWH.A","        Botswana","0","0.01","0.082","0.16","0.186","0.223","0.24","0.072","0.072","0.065","0.084","0.106","0.08","0.159","0.31","0.34","0.685","0.748","0.689","0.85","0.986","1.183","1.473","1.874","1.91","1.975","2.207","2.519","2.728","2.793","2.985","3.139","3.272","2.819","1.684","1.468","1.673","1.289","0.84","1.101","NA"
"INTL.2-23-BRA-BKWH.A","        Brazil","-0.054","-0.298","-0.192","3.329","3.124","2.405","12.59","17.4046","17.9755","21.897","24.393","27.08","24.542","28.199","33.11","35.46","40.205","40.47","39.404","39.895","42.996","37.854","36.56","38.194","37.385","39.042","41.164","38.832","42.212","39.984","34.649","35.886","40.255","40.334","33.775","34.423","40.795","36.355","34.979","24.957","24.718"
"INTL.2-23-VGB-BKWH.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-BRN-BKWH.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-BGR-BKWH.A","        Bulgaria","3.832","3.402","2.647","2.361","2.394","4.495","3.957","4.374","4.377","4.724","3.78","2.123","2.566","0.13","-0.03","-0.121","-0.449","-3.535","-3.646","-1.927","-4.62","-7.187","-6.295","-5.489","-5.879","-7.581","-7.743","-4.475","-5.344","-5.073","-8.446","-10.661","-8.308","-6.181","-9.455","-10.576","-6.372","-5.48","-7.807","-5.81","-3.408"
"INTL.2-23-BFA-BKWH.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.066","0.11","0.069","0.096","0.125","0.139","0.124","0.135716","0.1446","0.385","0.495","0.515","0.532","0.488","0.443","0.63","0.645","0.66","0.6","NA"
"INTL.2-23-MMR-BKWH.A","        Burma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2.381","-1.393","-0.851","-1.002","NA"
"INTL.2-23-BDI-BKWH.A","        Burundi","0.039","0.041","0.037","0.036","0.035","0.042","0.026","0.012","0.012","0.013","0.016","0.023","0.023","0.035","0.043","0.029","0.035","0.035","0.029","0.035","0.03","0.035","0.035","0.052","0.063","0.071","0.075","0.077","0.076","0.092","0.095","0.099","0.099","0.103","0.091","0.096","0.1","0.1","0.1","0.1","NA"
"INTL.2-23-CPV-BKWH.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-KHM-BKWH.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.007","0.013","0.018","0.029","0.054","0.103","0.276","0.725","1.547","1.826","2.105","2.279","1.803","1.547","1.582","1.442","1.57","3.063","NA"
"INTL.2-23-CMR-BKWH.A","        Cameroon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.125","0.754","0.729","0.018","0.016","0.018","0.019","0.019","NA"
"INTL.2-23-CAN-BKWH.A","        Canada","-26.0803813680796","-33.0869887350757","-29.254710136955","-35.2535658943965","-39.5758266241053","-40.8892512084002","-34.5408618096687","-44.407935185355","-29.9333109766449","-9.586632968926","-0.951107","-18.12729","-24.388179","-26.672197","-43.880858","-38.128119","-40.297376","-35.538501","-27.818832","-29.958308","-35.830476","-22.295986","-21.3054","-5.740112","-10.525378","-23.85138","-19.112009","-30.950633","-32.157611","-33.618118","-25.702264","-36.555189","-46.977421","-50.875536","-47.334904","-62.181458","-63.800637","-62.146465","-48.206342","-47.014851","-57.4"
"INTL.2-23-CYM-BKWH.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-CAF-BKWH.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
