Report generated on: 02-24-2022 17:30:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-ATA-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-3-ATA-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-3-ATA-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-ATG-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.06356","0.06356","0.06338","0.06356","0.06356","0.06356","0.06338","0.06356","0.06356","0.06356","0.06338","0.06356","0.06356","0.0635616438356164","0.0633879781420765","0.0635616438356164","0.0635616438356164","0.0635616438356164","0.0633879781420765","0.0635616438356164","0.0953424657534247","0.09534246576","0.098520547952","0.1","0.1","0.1","0.1","NA","NA"
"INTL.6899-3-ATG-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.06356","0.06356","0.06338","0.06356","0.06356","0.06356","0.06338","0.06356","0.06356","0.06356","0.06338","0.06356","0.06356","0.0635616438356164","0.0633879781420765","0.0635616438356164","0.0635616438356164","0.0635616438356164","0.0633879781420765","0.0635616438356164","0.0953424657534247","0.09534246576","0.098520547952","0.1","0.1","0.1","0.1","NA","NA"
"INTL.8499-3-ATG-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-ARG-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","1.4","2.6","1.5","0","0","0","1.6","0","0","6.4","0","0.8","1.7","0.0953424657534247","1.3","1.5","0.8","0.6","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-3-ARG-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","1.4","2.6","1.5","0","0","0","1.6","0","0","6.4","0","0.8","1.7","0.0953424657534247","1.3","1.5","0.8","0.6","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-3-ARG-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-ARM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0.3","0.1","0.03169","0.03169","0.03169","0.03178","0.03178","0.0317808219178082","0.0316939890710383","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0316939890710383","0.0317808219178082","0.03","0.4","0.3","0.2","0.3","0.2","0.2","NA","NA"
"INTL.6899-3-ARM-TBPD.A","            LPG (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0.3","0.1","0.03169","0.03169","0.03169","0.03178","0.03178","0.0317808219178082","0.0316939890710383","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0316939890710383","0.0317808219178082","0.03","0.4","0.3","0.2","0.3","0.2","0.2","NA","NA"
"INTL.8499-3-ARM-TBPD.A","            Ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-ABW-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","0","0","0","0.2","0.03178","0.06356","0.09508","0.09534","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.7","0.7","0.7","0.3","0.3","0.3","0.3","0.3","NA","NA"
"INTL.6899-3-ABW-TBPD.A","            LPG (Mb/d)","--","--","--","--","--","--","0","0","0","0.2","0.03178","0.06356","0.09508","0.09534","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.7","0.7","0.7","0.3","0.3","0.3","0.3","0.3","NA","NA"
"INTL.8499-3-ABW-TBPD.A","            Ethane (Mb/d)","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-AUS-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","0","0","0.030346975","0.030346975","0.091060014","0.060719403","0.4","0.4","0.5","1.3","1","0.5","1","2.4","3.5","5.5","9.2","9.1","8.5","7.7","10","8.7","9","7.2","10","8.4","13","12","16","18","17","15","26","22","NA"
"INTL.6899-3-AUS-TBPD.A","            LPG (Mb/d)","0","0","0.030346975","0.030346975","0.091060014","0.060719403","0.4","0.4","0.5","1.3","1","0.5","1","2.4","3.5","5.5","9.2","9.1","8.5","7.7","10","8.7","9","7.2","10","8.4","13","12","16","18","17","15","26","22","NA"
"INTL.8499-3-AUS-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-AUT-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","1.024498341","0.9","0.8","1.6","3","3.3","2.3","2.2","4.2","2.5","5.1","4.5","4.6","5.1","4.9","3.8","4.7","4.7","4.1","4.8","5","4.6","4.9","4.2","3.9","4.1","4.7","3.9","3.4","3","3.6","2.9","2.5","2","NA"
"INTL.6899-3-AUT-TBPD.A","            LPG (Mb/d)","1.024498341","0.9","0.8","1.6","3","3.3","2.3","2.2","4.2","2.5","5.1","4.5","4.6","5.1","4.9","3.8","4.7","4.7","4.1","4.8","5","4.6","4.9","4.2","3.9","4.1","4.7","3.9","3.4","3","3.6","2.9","2.5","2","NA"
"INTL.8499-3-AUT-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-AZE-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0.06356","0","0.7","0.3","0.7","1","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-3-AZE-TBPD.A","            LPG (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0.06356","0","0.7","0.3","0.7","1","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-3-AZE-TBPD.A","            Ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
