Report generated on: 02-24-2022 17:30:36
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"INTL.8499-2-AGO-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-ATA-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-2-ATA-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-2-ATA-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-ATG-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.06356","0.06356","0.06338","0.06356","0.06356","0.06356","0.06338","0.06356","0.06356","0.06356","0.06338","0.06356","0.06356","0.0635616438356164","0.0633879781420765","0.0635616438356164","0.0635616438356164","0.0635616438356164","0.0633879781420765","0.0635616438356164","0.0953424657534247","0.09534246576","0.098520547952","0.1","0.1","0.1","0.1","NA","NA"
"INTL.6899-2-ATG-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.06356","0.06356","0.06338","0.06356","0.06356","0.06356","0.06338","0.06356","0.06356","0.06356","0.06338","0.06356","0.06356","0.0635616438356164","0.0633879781420765","0.0635616438356164","0.0635616438356164","0.0635616438356164","0.0633879781420765","0.0635616438356164","0.0953424657534247","0.09534246576","0.098520547952","0.1","0.1","0.1","0.1","NA","NA"
"INTL.8499-2-ATG-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-ARG-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","43","32","48","41","42","46","50","48","51","56","46","50","55","58","50","71","66","77","86","84","98","103","89","78","85","71","93","NA","NA"
"INTL.6899-2-ARG-TBPD.A","            LPG (Mb/d)","34.50123953","33","31","32","33","33","32","23","35","30","32","35","37","36","38","42","34","38","44","44","42","41","36","42","50","47","58","51","44","38","45","32","50","NA","NA"
"INTL.8499-2-ARG-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","11","8.4","13","12","10","12","14","12","12","15","12","12","12","14","8.8","30","30","35","36","37","39","52","44","39","40","39","42","NA","NA"
"","Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
